Match,Start Time,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3
Qualification 1,Fri 3/16 - 9:00 AM,6651,4296,2481,2338,4356,2040
Qualification 2,Fri 3/16 - 9:07 AM,6874,4314,3352,4787,2169,4143
Qualification 3,Fri 3/16 - 9:14 AM,4156,4256,4645,4241,648,4330
Qualification 4,Fri 3/16 - 9:21 AM,4655,4212,1756,5847,2081,2358
Qualification 5,Fri 3/16 - 9:28 AM,1736,3695,4764,2220,4213,2826
Qualification 6,Fri 3/16 - 9:35 AM,81,4096,2704,1329,6237,5442
Qualification 7,Fri 3/16 - 9:42 AM,4212,4787,5822,4143,4256,6651
Qualification 8,Fri 3/16 - 9:49 AM,2169,1736,4241,2481,5847,4645
Qualification 9,Fri 3/16 - 9:56 AM,4330,6237,4314,4296,81,4655
Qualification 10,Fri 3/16 - 10:03 AM,4096,648,2826,4213,1329,5822
Qualification 11,Fri 3/16 - 10:10 AM,2220,6874,2040,3352,2081,2338
Qualification 12,Fri 3/16 - 10:17 AM,2704,4764,5442,4356,2358,4156
Qualification 13,Fri 3/16 - 10:24 AM,1756,4296,1329,6237,3695,2169
Qualification 14,Fri 3/16 - 10:51 AM,4213,3352,648,4330,4096,6874
Qualification 15,Fri 3/16 - 10:58 AM,81,4156,6651,2481,2826,4241
Qualification 16,Fri 3/16 - 11:05 AM,2040,3695,5847,2358,4645,4764
Qualification 17,Fri 3/16 - 11:12 AM,2338,2220,2704,5442,4787,1736
Qualification 18,Fri 3/16 - 11:19 AM,4256,5822,2081,4314,4356,4655
Qualification 19,Fri 3/16 - 11:26 AM,4296,4212,4143,5847,4330,1756
Qualification 20,Fri 3/16 - 11:33 AM,4156,2169,3352,4764,4241,2220
Qualification 21,Fri 3/16 - 11:40 AM,2826,4787,4256,2338,4213,2481
Qualification 22,Fri 3/16 - 11:47 AM,6651,1329,1736,4655,6237,6874
Qualification 23,Fri 3/16 - 11:54 AM,4143,81,1756,5822,4645,4356
Qualification 24,Fri 3/16 - 1:21 PM,3695,648,2704,2040,4212,4314
Qualification 25,Fri 3/16 - 1:28 PM,5442,2358,2481,2081,4096,4296
Qualification 26,Fri 3/16 - 1:35 PM,4330,4256,2338,6237,5847,81
Qualification 27,Fri 3/16 - 1:42 PM,2826,4156,4655,4645,2704,1756
Qualification 28,Fri 3/16 - 1:49 PM,5822,4764,4096,4212,2081,6874
Qualification 29,Fri 3/16 - 1:56 PM,4787,1329,4314,4356,4241,3695
Qualification 30,Fri 3/16 - 2:03 PM,2220,4143,5442,2040,6651,4213
Qualification 31,Fri 3/16 - 2:10 PM,2169,2358,648,3352,4256,1736
Qualification 32,Fri 3/16 - 2:17 PM,4212,3695,1329,4156,4787,2481
Qualification 33,Fri 3/16 - 2:24 PM,2338,4655,4096,4143,4213,4764
Qualification 34,Fri 3/16 - 2:31 PM,4645,81,2220,2358,1756,4314
Qualification 35,Fri 3/16 - 2:38 PM,2169,2081,6651,3352,2704,4296
Qualification 36,Fri 3/16 - 2:45 PM,2826,6874,1736,5442,4330,4356
Qualification 37,Fri 3/16 - 2:52 PM,4241,2040,6237,648,5822,5847
Qualification 38,Fri 3/16 - 2:59 PM,4096,2358,1329,4314,4296,2220
Qualification 39,Fri 3/16 - 3:06 PM,4330,4645,4213,6874,6651,2338
Qualification 40,Fri 3/16 - 3:13 PM,2081,1756,4787,1736,4156,648
Qualification 41,Fri 3/16 - 3:20 PM,4256,5847,4241,3695,2826,4143
Qualification 42,Fri 3/16 - 3:27 PM,4356,2481,3352,6237,2704,5822
Qualification 43,Fri 3/16 - 3:54 PM,4655,2040,5442,81,4212,2169
Qualification 44,Fri 3/16 - 4:01 PM,4764,4314,2081,6651,2826,4330
Qualification 45,Fri 3/16 - 4:08 PM,2358,6874,4213,6237,2481,2220
Qualification 46,Fri 3/16 - 4:15 PM,4241,3352,1329,1756,2338,5822
Qualification 47,Fri 3/16 - 4:22 PM,4256,2169,4356,4096,2040,4645
Qualification 48,Fri 3/16 - 4:29 PM,1736,5847,2704,4764,4156,4212
Qualification 49,Fri 3/16 - 4:36 PM,4296,5442,648,3695,4655,4787
Qualification 50,Fri 3/16 - 4:43 PM,4143,2481,4330,81,3352,2358
Qualification 51,Fri 3/16 - 4:50 PM,4156,4213,6237,4314,2169,5847
Qualification 52,Fri 3/16 - 4:57 PM,6874,4241,4296,4256,4096,4212
Qualification 53,Fri 3/16 - 5:04 PM,2081,1736,4645,1329,4143,2338
Qualification 54,Sat 3/17 - 9:00 AM,648,4356,81,6651,2220,3695
Qualification 55,Sat 3/17 - 9:07 AM,4787,4764,2040,1756,5442,2826
Qualification 56,Sat 3/17 - 9:14 AM,4655,2704,2358,5822,4143,4241
Qualification 57,Sat 3/17 - 9:21 AM,4213,1736,4212,4645,6651,3352
Qualification 58,Sat 3/17 - 9:28 AM,4314,2338,3695,4096,5442,4156
Qualification 59,Sat 3/17 - 9:35 AM,5847,2826,4296,2704,6874,4787
Qualification 60,Sat 3/17 - 9:42 AM,1329,4330,2081,2040,1756,4256
Qualification 61,Sat 3/17 - 9:49 AM,5822,2481,81,2169,4655,4764
Qualification 62,Sat 3/17 - 9:56 AM,4356,6237,2826,648,2220,4212
Qualification 63,Sat 3/17 - 10:23 AM,1756,6651,4096,2704,4314,4256
Qualification 64,Sat 3/17 - 10:30 AM,2358,2040,4143,6874,1329,4156
Qualification 65,Sat 3/17 - 10:37 AM,2220,5822,2169,4296,1736,4330
Qualification 66,Sat 3/17 - 10:44 AM,4645,5442,3695,4764,3352,6237
Qualification 67,Sat 3/17 - 10:51 AM,2081,4356,4213,4787,4241,81
Qualification 68,Sat 3/17 - 10:58 AM,5847,2338,4156,2481,648,4655
